第2シーズン
20200524
C6529 | 14:58 | 三般南喰赤祝 | 鳥谷タカシ(+49.0,+10枚) さかかきばら(+1.0,-4枚) とぅーり王(-50.0,-6枚)
C6529 | 15:18 | 三般南喰赤祝 | 鳥谷タカシ(+47.0,-1枚) さかかきばら(0.0,+2枚) とぅーり王(-47.0,-1枚)
C6529 | 19:14 | 三般南喰赤祝 | ソギモギ皇帝(+69.0,-4枚) バラク・オマタ(-12.0,+9枚) 鳥谷タカシ(-57.0,-5枚)
C6529 | 19:26 | 三般南喰赤祝 | バラク・オマタ(+57.0,+4枚) 鳥谷タカシ(+1.0,0枚) ソギモギ皇帝(-58.0,-4枚)
C6529 | 19:38 | 三般南喰赤祝 | 鳥谷タカシ(+71.0,+8枚) ソギモギ皇帝(-12.0,-5枚) バラク・オマタ(-59.0,-3枚)
C6529 | 19:50 | 三般南喰赤祝 | ソギモギ皇帝(+46.0,-5枚) バラク・オマタ(+1.0,+3枚) 鳥谷タカシ(-47.0,+2枚)
C6529 | 20:09 | 三般南喰赤祝 | バラク・オマタ(+63.0,0枚) ソギモギ皇帝(+2.0,+5枚) 鳥谷タカシ(-65.0,-5枚)
C6529 | 20:18 | 三般南喰赤祝 | 鳥谷タカシ(+67.0,-1枚) ソギモギ皇帝(+7.0,+4枚) バラク・オマタ(-74.0,-3枚)
C6529 | 20:38 | 三般南喰赤祝 | ソギモギ皇帝(+55.0,+3枚) バラク・オマタ(+6.0,0枚) Toshi624(-61.0,-3枚)
C6529 | 20:53 | 三般南喰赤祝 | バラク・オマタ(+62.0,+3枚) Toshi624(+3.0,+1枚) ソギモギ皇帝(-65.0,-4枚)
C6529 | 21:06 | 三般南喰赤祝 | ソギモギ皇帝(+52.0,0枚) バラク・オマタ(+1.0,+4枚) Toshi624(-53.0,-4枚)
C6529 | 21:27 | 三般南喰赤祝 | さかかきばら(+76.0,+4枚) バラク・オマタ(-17.0,-2枚) Toshi624(-59.0,-2枚)
C6529 | 21:42 | 三般南喰赤祝 | バラク・オマタ(+69.0,+9枚) Toshi624(-18.0,-1枚) さかかきばら(-51.0,-8枚)
20200601
C6529 | 12:07 | 三般南喰赤祝 | バラク・オマタ(+43.0,-1枚) kitagaw(-3.0,+1枚) さかかきばら(-40.0,0枚)
C6529 | 12:22 | 三般南喰赤祝 | さかかきばら(+52.0,+2枚) バラク・オマタ(+5.0,+1枚) kitagaw(-57.0,-3枚)
C6529 | 12:31 | 三般南喰赤祝 | さかかきばら(+61.0,+3枚) kitagaw(-14.0,-4枚) バラク・オマタ(-47.0,+1枚)
C6529 | 19:46 | 三般南喰赤祝 | バラク・オマタ(+65.0,+3枚) ニートしたい(-16.0,+4枚) 鳥谷タカシ(-49.0,-7枚)
C6529 | 20:03 | 三般南喰赤祝 | ニートしたい(+48.0,+4枚) 鳥谷タカシ(+1.0,-2枚) バラク・オマタ(-49.0,-2枚)
C6529 | 20:15 | 三般南喰赤祝 | 鳥谷タカシ(+47.0,-1枚) バラク・オマタ(0.0,+7枚) ニートしたい(-47.0,-6枚)
C6529 | 20:27 | 三般南喰赤祝 | 鳥谷タカシ(+60.0,-2枚) ニートしたい(+5.0,+6枚) バラク・オマタ(-65.0,-4枚)
C6529 | 21:05 | 三般南喰赤祝 | さかかきばら(+70.0,+6枚) ニートしたい(+10.0,-1枚) バラク・オマタ(-80.0,-5枚)
C6529 | 21:16 | 三般南喰赤祝 | さかかきばら(+50.0,-3枚) ニートしたい(-3.0,+6枚) バラク・オマタ(-47.0,-3枚)
C6529 | 21:27 | 三般南喰赤祝 | ニートしたい(+94.0,+4枚) さかかきばら(+1.0,-1枚) バラク・オマタ(-95.0,-3枚)
20200602
